1970-01-01 19:51:32.250  CRITICAL  00EB7859 012A54F9 AP1_10000-I  application1 start.
1970-01-01 19:51:32.265  CRITICAL  00EB7859 012A54F9 AP1_10100-E  Catch an exception!
1970-01-01 19:51:32.265  CRITICAL  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  INFO  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  INFO  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  INFO  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  INFO  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  DEBUG  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  DEBUG  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  EMERGENCY  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  EMERGENCY  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  EMERGENCY  00EB7859 012A54F9 AP1_10001-I  application1 end.
1970-01-01 19:51:32.265  EMERGENCY  00EB7859 012A54F9 AP1_10001-I  application1 end.
